ORF_ID	Best_Hit_ARO	ARO	Model_type	Drug Class	Resistance Mechanism	AMR Gene Family
C4936_82788_2	vgaE	3002833	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
C4936_85562_1	ACI-1	3004359	protein homolog model	cephalosporin; penam; penem	antibiotic inactivation	ACI beta-lactamase
C4936_87539_2	dfrA6 from Proteus mirabilis	3004644	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
C4936_87766_7	RbpA	3000245	protein homolog model	rifamycin antibiotic	antibiotic target protection	RbpA bacterial RNA polymerase-binding protein
C4974_130352_3	mphC	3000319	protein homolog model	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)
C4974_137822_6	clcD	3004599	protein homolog model	lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target alteration	Cfr 23S ribosomal RNA methyltransferase
C4974_151877_3	APH(4)-Ia	3002655	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(4)
C4974_167705_1	catB8	3002680	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
C4974_168469_1	AAC(6')-IIa	3002594	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')
C4974_168892_3	PC1 beta-lactamase (blaZ)	3000621	protein homolog model	penam	antibiotic inactivation	blaZ beta-lactamase
C4974_174238_2	FusF	3004663	protein homolog model	fusidic acid	antibiotic inactivation	fusidic acid inactivation enzyme
C4974_179554_1	Staphylococcus intermedius chloramphenicol acetyltransferase	3004457	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
C4974_187242_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
C4974_187242_3	oqxA	3003922	protein homolog model	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
C4974_193126_3	vga(E) Staphylococcus cohnii	3004715	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
C4974_202478_1	dfrA16	3003014	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
C4974_207073_2	APH(6)-Id	3002660	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(6)
C4936_108258_2	msrE	3003109	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
C4936_122960_1	cfrC	3004146	protein homolog model	phenicol antibiotic	antibiotic target alteration	Cfr 23S ribosomal RNA methyltransferase
C4936_154808_3	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
C4936_157715_1	LnuP	3004601	protein homolog model	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)
C4936_179293_2	baeS	3000829	protein homolog model	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
C4936_181311_1	APH(2'')-IIIa	3002636	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')
C4936_188645_1	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
C4936_189402_1	vgbA	3001307	protein homolog model	streptogramin antibiotic	antibiotic inactivation	streptogramin vgb lyase
C4936_189402_2	vatA	3002840	protein homolog model	streptogramin antibiotic	antibiotic inactivation	streptogramin vat acetyltransferase
C4936_215510_7	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
C4936_232219_1	APH(3')-VIa	3002652	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(3')
C4936_292882_7	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
C4936_294147_1	tet(K)	3000178	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
C4936_305197_3	lnuE	3003762	protein homolog model	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)
C4936_317941_1	dfrA1	3002854	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
C4936_335332_2	aad(6)	3002628	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)
C4936_382448_1	Mef(En2)	3004659	protein homolog model	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
C4936_385146_1	dfrK	3002869	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
C4936_389306_2	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
C4936_404462_3	mphA	3000316	protein homolog model	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)
C4950_6396_19	Escherichia coli emrE	3004039	protein homolog model	macrolide antibiotic	antibiotic efflux	small multidrug resistance (SMR) antibiotic efflux pump
C4950_50652_2	tet(Z)	3000183	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
C4950_58272_1	tet(A)	3000165	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
C4950_69350_2	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
C4950_85673_2	mdtA	3000792	protein homolog model	aminocoumarin antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
C4950_106509_1	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
C4950_156726_1	APH(2'')-If	3004191	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')
C4950_192673_1	CTX-M-14	3001877	protein homolog model	cephalosporin	antibiotic inactivation	CTX-M beta-lactamase
C4950_221606_2	FosA3	3002872	protein homolog model	fosfomycin	antibiotic inactivation	fosfomycin thiol transferase
C4974_11020_6	mphF	3003071	protein homolog model	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)
C4974_35503_3	erm(45)	3004595	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
C4974_35774_4	mef(B)	3003107	protein homolog model	macrolide antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
C4974_52786_8	Acinetobacter baumannii AbaQ	3004574	protein homolog model	fluoroquinolone antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
C4974_53776_2	SAT-4	3002897	protein homolog model	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)
C4974_70470_2	mphE	3003741	protein homolog model	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)
F4460_119778_2	aphA15	3004675	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(3')
F4460_171646_2	Erm(42)	3003106	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
F4436_3919_4	CfxA6	3003097	protein homolog model	cephamycin	antibiotic inactivation	CfxA beta-lactamase
F4436_10747_8	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F4436_99332_7	tet(59)	3004441	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F4436_139984_1	CARB-8	3002247	protein homolog model	penam	antibiotic inactivation	CARB beta-lactamase
F4436_261440_2	vanXYG	3003069	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY
F4436_263629_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F4436_403518_2	vanRG	3002926	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR
F4453_643_1	APH(3')-Ia	3002641	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(3')
F4453_50694_1	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F4453_61165_1	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F4453_91029_3	ErmA	3000347	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
F4453_137756_2	mphG	3003742	protein homolog model	macrolide antibiotic	antibiotic inactivation	macrolide phosphotransferase (MPH)
F4453_194330_2	AAC(6')-Ie-APH(2'')-Ia	3002597	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(2''); AAC(6')
F4453_201269_2	dfrD	3002866	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
F4460_26141_4	vanXYG	3003069	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanXY
F4460_80815_5	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5385_261946_2	lnuG	3004085	protein homolog model	lincosamide antibiotic	antibiotic inactivation	lincosamide nucleotidyltransferase (LNU)
F5393_286713_4	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5386_31899_1	aadS	3004683	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(6)
F5393_7376_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5393_84332_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5393_125189_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5393_175761_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5393_328306_1	ErmX	3000596	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
F5403_6028_4	emrY	3000254	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5399_197358_2	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5399_324270_6	rmtF	3002666	protein homolog model	aminoglycoside antibiotic	antibiotic target alteration	16S rRNA methyltransferase (G1405)
F5401_57779_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5403_118836_6	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5404_367039_11	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5403_476120_3	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5403_550466_12	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5404_225904_1	APH(6)-Id	3002660	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(6)
F5404_343378_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5412_15563_9	AcrE	3000499	protein homolog model	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5412_46932_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5412_303985_2	vanRG	3002926	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; vanR
F5415_32297_3	tet(W/N/W)	3004442	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
F5415_89858_1	tet32	3000196	protein homolog model	tetracycline antibiotic	antibiotic target protection	tetracycline-resistant ribosomal protection protein
F5415_126537_3	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5415_189758_3	mdtO	3003549	protein homolog model	nucleoside antibiotic; acridine dye	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5415_282159_3	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5421_261071_3	ANT(3'')-IIa	3004089	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')
F5417_262331_4	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5419_12251_14	cepA	3003559	protein homolog model	cephalosporin	antibiotic inactivation	cepA beta-lactamase
F5419_86633_21	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5419_103339_4	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5419_105769_24	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5419_261937_7	ErmA	3000347	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	Erm 23S ribosomal RNA methyltransferase
F5419_300520_2	catA8	3004658	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
F5421_32998_3	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5421_94321_13	AAC(6')-Iid	3002589	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')
F5421_139431_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5421_159280_2	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
F5421_196259_1	tet(45)	3003196	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5422_3541_26	lsaA	3000300	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5422_24198_1	efrB	3003949	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
F5422_24198_2	efrA	3003948	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; rifamycin antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
F5422_47649_3	dfrE	3002875	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
F5422_60646_2	CARB-10	3002249	protein homolog model	penam	antibiotic inactivation	CARB beta-lactamase
F5422_127753_1	FosB3	3002873	protein homolog model	fosfomycin	antibiotic inactivation	fosfomycin thiol transferase
F5422_148454_5	tet(D)	3000168	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5422_289819_6	emeA	3003551	protein homolog model	acridine dye	antibiotic efflux	multidrug and toxic compound extrusion (MATE) transporter
F5429_140123_36	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5432_431019_2	APH(3'')-Ib	3002639	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(3'')
F5444_291876_4	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5440_36733_1	sul2	3000412	protein homolog model	sulfonamide antibiotic	antibiotic target replacement	sulfonamide resistant sul
F5440_369679_2	tet(33)	3000478	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5440_406541_6	MCR-1.1	3003689	protein homolog model	peptide antibiotic	antibiotic target alteration	MCR phosphoethanolamine transferase
F5444_107504_1	emrY	3000254	protein homolog model	tetracycline antibiotic	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5444_108224_2	TolC	3000237	protein homolog model	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan; penem	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump
F5446_141485_1	AAC(6')-Im	3004629	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	AAC(6')
F5446_270401_1	lsaB	3003111	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5446_355343_3	ANT(3'')-IIc	3004091	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	ANT(3'')
F5447_261105_1	AcrF	3000502	protein homolog model	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5447_286262_4	acrD	3000491	protein homolog model	aminoglycoside antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5449_45125_1	TEM-116	3000979	protein homolog model	monobactam; cephalosporin; penam; penem	antibiotic inactivation	TEM beta-lactamase
F5449_45125_2	APH(3')-IIa	3002644	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(3')
F5455_16398_3	Escherichia coli ampH beta-lactamase	3004612	protein homolog model	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase
F5455_25292_2	PmrF	3003578	protein homolog model	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase
F5455_66314_5	marA	3000263	protein homolog model	fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan; penem	antibiotic efflux; reduced permeability to antibiotic	resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams
F5449_513304_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5453_207461_6	APH(2'')-Ig	3002669	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')
F4554_186864_2	vanI	3003723	protein homolog model	glycopeptide antibiotic	antibiotic target alteration	glycopeptide resistance gene cluster; van ligase
F4554_242227_2	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F4460_287271_1	catB11	3004660	protein homolog model	phenicol antibiotic	antibiotic inactivation	chloramphenicol acetyltransferase (CAT)
F4460_399607_5	SAT-2	3002895	protein homolog model	nucleoside antibiotic	antibiotic inactivation	streptothricin acetyltransferase (SAT)
F4552_176436_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5455_230778_15	Escherichia coli mdfA	3001328	protein homolog model	tetracycline antibiotic; benzalkonium chloride; rhodamine	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5457_299834_1	eptA	3003576	protein homolog model	peptide antibiotic	antibiotic target alteration	pmr phosphoethanolamine transferase
F5472_72848_2	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5476_214929_8	patB	3000025	protein homolog model	fluoroquinolone antibiotic	antibiotic efflux	ATP-binding cassette (ABC) antibiotic efflux pump
F5478_169903_2	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5478_359794_1	APH(2'')-If	3004191	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(2'')
F5485_130415_2	APH(3'')-Ib	3002639	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(3'')
F5485_171428_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5486_76141_11	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5487_126071_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5487_186291_1	dfrF	3002867	protein homolog model	diaminopyrimidine antibiotic	antibiotic target replacement	trimethoprim resistant dihydrofolate reductase dfr
F5487_211204_29	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5498_77708_1	mdtG	3001329	protein homolog model	fosfomycin	antibiotic efflux	major facilitator superfamily (MFS) antibiotic efflux pump
F5500_85045_3	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
F5500_181249_30	adeF	3000777	protein homolog model	fluoroquinolone antibiotic; tetracycline antibiotic	antibiotic efflux	resistance-nodulation-cell division (RND) antibiotic efflux pump
F5509_104888_2	Escherichia coli ampH beta-lactamase	3004612	protein homolog model	cephalosporin; penam	antibiotic inactivation	ampC-type beta-lactamase
F5502_90945_1	FosA7	3004113	protein homolog model	fosfomycin	antibiotic inactivation	fosfomycin thiol transferase
F5505_342874_1	AAC(6')-Ie-APH(2'')-Ia	3002597	protein homolog model	aminoglycoside antibiotic	antibiotic inactivation	APH(2''); AAC(6')
F5510_29487_5	poxtA	3004470	protein homolog model	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection	ABC-F ATP-binding cassette ribosomal protection protein
